"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 03:30:25 CST 2024","Tue Jan 16 03:30:27 CST 2024","1798","tests","test_login","","","","test_login_successful[True_data-admin-123456]",""
"passed","Tue Jan 16 03:30:36 CST 2024","Tue Jan 16 03:30:37 CST 2024","1254","tests","test_login","","","","test_login_successful[Error_user-adminss-123456]",""
"passed","Tue Jan 16 03:30:46 CST 2024","Tue Jan 16 03:30:48 CST 2024","1260","tests","test_login","","","","test_login_successful[Error_pasw-admin-123123]",""
